source_run,run_type,scenario_key,persona_key,condition_count,completed_condition_count,mean_message_count,mean_agent_a_turn_count,mean_agent_b_turn_count,mean_memory_snapshot_count,mean_candidate_count,mean_unique_route_count,mean_task_state_agreement,mean_constraint_agreement,mean_route_agreement,total_focus_disagreements,evidence_source
20260711_000430_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_000932_b-n0001,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,1,1,13.0,7.0,6.0,13.0,4.0,3.0,1.0,1.0,1.0,10.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_001504_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,1,11.0,6.0,5.0,11.0,4.0,4.0,1.0,1.0,1.0,9.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_002202_b-n0001,text_only,morning_peak_cross_city,delay_sensitive_traveler,1,1,11.0,6.0,5.0,11.0,4.0,3.0,1.0,1.0,1.0,8.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_003203_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_003303_b-n0001,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,1,1,5.0,3.0,2.0,5.0,0.0,0.0,0.3333333333333333,1.0,1.0,2.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_003633_b-n0001,text_only,morning_peak_cross_city,risk_averse_novice,1,1,11.0,6.0,5.0,11.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_004234_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,1,17.0,9.0,8.0,17.0,4.0,3.0,1.0,0.0,0.0,15.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_004736_b-n0001,audio_variant,morning_peak_cross_city,risk_averse_novice,1,1,19.0,10.0,9.0,19.0,5.0,4.0,1.0,1.0,1.0,14.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_005135_b-n0001,text_only,midday_transfer,focused_commuter,1,1,13.0,7.0,6.0,13.0,3.0,2.0,1.0,1.0,1.0,11.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_005605_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,11.0,6.0,5.0,11.0,4.0,3.0,1.0,1.0,0.0,9.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_010107_b-n0001,text_only,morning_peak_cross_city,risk_averse_novice,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,5.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_010136_b-n0001,audio_variant,midday_transfer,focused_commuter,1,1,20.0,10.0,10.0,20.0,3.0,3.0,1.0,1.0,1.0,11.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_010706_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,1,5.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_011036_b-n0001,text_only,morning_peak_cross_city,crowd_averse_rider,1,1,11.0,6.0,5.0,11.0,4.0,4.0,1.0,1.0,1.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_011136_b-n0001,text_only,airport_connection,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_011136_b-n0001_02,audio_variant,morning_peak_cross_city,risk_averse_novice,1,1,20.0,10.0,10.0,20.0,7.0,7.0,1.0,0.0,1.0,15.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_011337_b-n0001,audio_variant,airport_connection,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_011506_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_012109_b-n0001,audio_variant,morning_peak_cross_city,crowd_averse_rider,1,1,17.0,9.0,8.0,17.0,5.0,3.0,1.0,1.0,1.0,12.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_012438_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,1,11.0,6.0,5.0,11.0,4.0,3.0,1.0,1.0,0.0,8.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_012638_b-n0001,text_only,morning_peak_cross_city,risk_averse_novice,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,5.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_013438_b-n0001,text_only,morning_peak_cross_city,crowd_averse_rider,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,4.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_013709_b-n0001,audio_variant,morning_peak_cross_city,risk_averse_novice,1,1,20.0,10.0,10.0,20.0,6.0,5.0,1.0,1.0,0.0,13.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_014510_b-n0001,audio_variant,morning_peak_cross_city,crowd_averse_rider,1,1,20.0,10.0,10.0,20.0,8.0,7.0,1.0,0.0,0.0,16.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_020012_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_021015_b-n0001,audio_variant,morning_peak_cross_city,focused_commuter,1,1,13.0,7.0,6.0,13.0,4.0,3.0,1.0,1.0,0.0,10.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_123222_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_155348_b-n0001,text_only,morning_peak_cross_city,crowd_averse_rider,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_155448_b-n0001,audio_variant,morning_peak_cross_city,crowd_averse_rider,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_155549_b-n0001,text_only,morning_peak_cross_city,delay_sensitive_traveler,1,1,13.0,7.0,6.0,13.0,6.0,5.0,1.0,1.0,1.0,10.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_161151_b-n0001,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,1,1,15.0,8.0,7.0,15.0,6.0,5.0,1.0,1.0,0.0,12.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_161752_b-n0001,text_only,midday_transfer,risk_averse_novice,1,1,11.0,6.0,5.0,11.0,4.0,2.0,1.0,0.0,1.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_162855_b-n0001,text_only,morning_peak_cross_city,risk_averse_novice,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_162955_b-n0001,audio_variant,morning_peak_cross_city,risk_averse_novice,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_163055_b-n0001,text_only,midday_transfer,focused_commuter,1,1,13.0,7.0,6.0,13.0,3.0,2.0,1.0,1.0,1.0,11.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_163155_b-n0001,audio_variant,midday_transfer,risk_averse_novice,1,1,15.0,8.0,7.0,15.0,0.0,0.0,0.0,1.0,1.0,10.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_163626_b-n0001,text_only,airport_connection,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_163726_b-n0001,audio_variant,airport_connection,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_163827_b-n0001,text_only,airport_connection,crowd_averse_rider,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,4.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_164528_b-n0001,audio_variant,midday_transfer,focused_commuter,1,1,13.0,7.0,6.0,13.0,3.0,2.0,1.0,1.0,1.0,11.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_164958_b-n0001,audio_variant,airport_connection,crowd_averse_rider,1,1,17.0,9.0,8.0,17.0,6.0,6.0,1.0,1.0,0.0,12.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_170200_b-n0001,text_only,midday_transfer,crowd_averse_rider,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,4.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_170200_b-n0001_02,text_only,crowded_event_exit,delay_sensitive_traveler,1,1,9.0,5.0,4.0,9.0,4.0,4.0,0.6666666666666666,1.0,1.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_170731_b-n0001,text_only,airport_connection,delay_sensitive_traveler,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_170831_b-n0001,audio_variant,airport_connection,delay_sensitive_traveler,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_170932_b-n0001,text_only,airport_connection,risk_averse_novice,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171032_b-n0001,audio_variant,airport_connection,risk_averse_novice,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171132_b-n0001,text_only,crowded_event_exit,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171232_b-n0001,audio_variant,crowded_event_exit,focused_commuter,1,0,,,,,,,,,,0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171302_b-n0001,audio_variant,midday_transfer,crowd_averse_rider,1,1,11.0,6.0,5.0,11.0,4.0,4.0,1.0,1.0,0.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171332_b-n0001,text_only,crowded_event_exit,crowd_averse_rider,1,1,9.0,5.0,4.0,9.0,4.0,4.0,0.6666666666666666,1.0,1.0,4.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_171332_b-n0001_02,audio_variant,crowded_event_exit,delay_sensitive_traveler,1,1,13.0,7.0,6.0,13.0,6.0,6.0,0.6666666666666666,1.0,1.0,9.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_172504_b-n0001,audio_variant,crowded_event_exit,crowd_averse_rider,1,1,11.0,6.0,5.0,11.0,4.0,4.0,0.6666666666666666,1.0,0.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_172635_b-n0001,text_only,midday_transfer,delay_sensitive_traveler,1,1,9.0,5.0,4.0,9.0,4.0,2.0,1.0,1.0,1.0,6.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_173105_b-n0001,text_only,crowded_event_exit,risk_averse_novice,1,1,15.0,8.0,7.0,15.0,4.0,4.0,0.6666666666666666,1.0,0.0,9.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_173807_b-n0001,text_only,morning_peak_cross_city,crowd_averse_rider,1,1,19.0,10.0,9.0,19.0,6.0,5.0,1.0,0.0,0.0,11.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_173837_b-n0001,audio_variant,midday_transfer,delay_sensitive_traveler,1,1,20.0,10.0,10.0,20.0,0.0,0.0,0.6666666666666666,1.0,1.0,13.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_174516_b-n0001,audio_variant,crowded_event_exit,risk_averse_novice,1,1,9.0,5.0,4.0,9.0,0.0,0.0,0.0,1.0,1.0,4.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_174939_b-n0001,text_only,morning_peak_cross_city,focused_commuter,1,1,9.0,5.0,4.0,9.0,4.0,4.0,1.0,1.0,1.0,7.0,dialogue_state_comparison.csv grouped by run/scenario/persona
20260711_175910_b-n0001,audio_variant,morning_peak_cross_city,crowd_averse_rider,1,1,19.0,10.0,9.0,19.0,0.0,0.0,0.0,1.0,1.0,5.0,dialogue_state_comparison.csv grouped by run/scenario/persona
