source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260713_124242_b-n0001,C-HA-DST-CLEAN-PIP-FWH-QQ57I-PCC-LRG-I0-66f3ba7341-A,completed,audio_variant,hospital_appointment,delay_sensitive_traveler,11,6,5,11,4,4,1.0,1.0,1.0,3,3,1,0,reliability,confirmation,8
20260713_125744_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-2888b49f3a-T,completed,text_only,hospital_appointment,multi_stop_errand_runner,11,6,5,11,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,8
20260713_130645_b-n0001,C-HA-MSER-CLEAN-PIP-FWH-QQ57I-PCP-LRG-I0-2888b49f3a-A,completed,audio_variant,hospital_appointment,multi_stop_errand_runner,11,6,5,11,4,4,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,8
20260713_132156_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-26dec49292-A,completed,audio_variant,morning_peak_cross_city,focused_commuter,11,6,5,11,4,3,1.0,1.0,0.0,3,3,1,0,transfers,confirmation,8
20260713_132322_b-n0001,C-MDE-DST-HESIT-PIP-FWH-QQ57I-PAP-LRG-I0-83294e7e15-T,completed,text_only,multi_destination_errands,delay_sensitive_traveler,13,7,6,13,1,1,0.6666666666666666,1.0,1.0,0,0,2,0,route,clarification,7
20260713_132909_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-26dec49292-T,completed,text_only,morning_peak_cross_city,focused_commuter,9,5,4,9,4,4,1.0,1.0,1.0,3,3,0,0,transfers,confirmation,7
20260713_133001_b-n0001,C-MDE-DST-HESIT-PIP-FWH-QQ57I-PAP-LRG-I0-83294e7e15-A,completed,audio_variant,multi_destination_errands,delay_sensitive_traveler,11,6,5,11,1,1,0.6666666666666666,1.0,1.0,0,0,2,0,route,clarification,7
20260713_133432_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-26dec49292-T,not_started,text_only,morning_peak_cross_city,focused_commuter,,,,,,,,,,,,,,,,
20260713_142457_b-n0001,C-AC-RAN-CLEAN-PIP-FWH-QQ57I-PAP-LRG-I0-0fca0686d4-T,not_started,text_only,airport_connection,risk_averse_novice,,,,,,,,,,,,,,,,
20260713_142936_b-n0001,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-26dec49292-A,not_started,audio_variant,morning_peak_cross_city,focused_commuter,,,,,,,,,,,,,,,,
