source_run,source_path,run_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engines,asr_engines,planned_condition_count,observed_condition_count,completed_condition_count,interrupted_condition_count,not_started_condition_count,known_outcome_count,successful_condition_count,task_success_rate_completed,finalized_artifacts_available,interpretation
20260707_163501_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_163501_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163633_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_163633_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163801_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_163801_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163931_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_163931_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164101_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_164101_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164232_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_164232_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164403_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen2.5-1.5b/tinyllama/20260707_164403_b-n0001,preflight_only,tinyllama,Qwen2.5-1.5B-Instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164031_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164031_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164132_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164132_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164302_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164302_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164434_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164434_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164703_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164703_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164832_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164832_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164932_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_164932_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165103_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/agent_b/transformers/02-medium-qwen3-4b/tinyllama/20260707_165103_b-n0001,preflight_only,tinyllama,Qwen3-4B-Instruct-2507,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
