agent_a_type,agent_b_model,agent_b_llm_size,run_type,tts_engine,asr_engine,phase_order,phase,condition_phase_rows,observed_phase_rows,mean_observation_count,mean_processing_sec,maximum_processing_sec,mean_pipeline_success_rate,total_error_count,total_misinterpreted_tokens,total_corrections,mean_valid_route_parse_rate,total_candidates,evidence_source
userlm,Qwen2.5-1.5B-Instruct,medium,audio_variant,piper,vosk,6,speech_pipeline,30,30,14.833333333333334,6.478430328063515,35.527372,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,audio_variant,piper,faster_whisper,6,speech_pipeline,38,38,10.868421052631579,9.51194026158089,46.086692,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,1,natural_language_generation,31,31,10.096774193548388,38.00667973737956,105.416935,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,1,natural_language_generation,38,38,10.789473684210526,31.746933916008516,254.500556,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,2,text_to_speech,31,31,10.096774193548388,1.2141494906786678,8.645033,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,2,text_to_speech,38,38,10.789473684210526,1.0847569487422302,2.750241,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,3,automatic_speech_recognition,31,31,10.096774193548388,0.04124849066190642,3.677219,1.0,0.0,19.0,28.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,3,automatic_speech_recognition,38,38,10.789473684210526,0.028088672673087147,1.272542,1.0,0.0,26.0,85.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,4,natural_language_understanding,31,31,4.548387096774194,0.004638722311827957,0.036362,,0,0,0,0.9577956989247312,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,4,natural_language_understanding,38,38,5.026315789473684,0.004463444736842105,0.023007,,0,0,0,0.8883771929824561,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,5,dialogue_management,31,31,4.548387096774194,0.006171188261648745,0.017245,,0,0,0,,129.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,5,dialogue_management,38,38,5.026315789473684,0.005269272807017544,0.014542,,0,0,0,,148.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,vosk,6,speech_pipeline,31,31,10.096774193548388,1.2560100336125586,12.323271,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-1.5B-Instruct,medium,text_only,piper,faster_whisper,6,speech_pipeline,38,38,10.789473684210526,1.1133872154145197,3.815198,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,vosk,1,natural_language_generation,14,14,14.428571428571429,44.482218989086824,172.654484,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,faster_whisper,1,natural_language_generation,10,10,10.4,103.00262114159868,544.965904,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,vosk,2,text_to_speech,14,14,14.428571428571429,2.552357190839063,10.880031,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,faster_whisper,2,text_to_speech,10,10,10.4,4.626070311004274,30.222079,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,vosk,3,automatic_speech_recognition,14,14,14.428571428571429,1.3826821411004961,4.409237,1.0,0.0,453.0,92.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,10,10,10.4,6.011381255565268,18.825074,1.0,0.0,68.0,25.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,vosk,4,natural_language_understanding,14,14,6.857142857142857,0.0023961852891156462,0.01343,,0,0,0,0.717687074829932,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,faster_whisper,4,natural_language_understanding,10,10,4.8,0.0044760550000000005,0.031539,,0,0,0,0.875,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,vosk,5,dialogue_management,14,14,6.857142857142857,0.0027881650510204084,0.010954,,0,0,0,,52.0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-7B-Instruct,large,audio_variant,piper,faster_whisper,5,dialogue_management,10,10,4.8,0.005100951666666667,0.012446,,0,0,0,,36.0,phase_metric_comparison.csv grouped by model/run type/phase
