source_run,condition_id,condition_state,run_type,scenario_key,persona_key,message_count,agent_a_turn_count,agent_b_turn_count,memory_snapshot_count,candidate_count,unique_route_count,state_task_variable_agreement,active_constraint_agreement,current_route_agreement,agent_a_constraint_count,agent_b_constraint_count,agent_a_clarification_count,agent_b_clarification_count,final_agent_a_focus,final_agent_b_focus,focus_disagreement_count
20260711_155348_b-n0001,C-MPCC-CAR-MC-PIP-FWH-MP3M4-DEFAU-MED-I0-2929c16cb8-T,interrupted,text_only,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260711_155448_b-n0001,C-MPCC-CAR-MC-PIP-FWH-MP3M4-DEFAU-MED-I0-2929c16cb8-A,interrupted,audio_variant,morning_peak_cross_city,crowd_averse_rider,,,,,,,,,,,,,,,,
20260711_155549_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-5b94920bfc-T,completed,text_only,morning_peak_cross_city,delay_sensitive_traveler,13,7,6,13,6,5,1.0,1.0,1.0,3,3,0,0,reliability,confirmation,10
20260711_161151_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-MP3M4-DEFAU-MED-I0-5b94920bfc-A,completed,audio_variant,morning_peak_cross_city,delay_sensitive_traveler,15,8,7,15,6,5,1.0,1.0,0.0,3,3,1,0,reliability,confirmation,12
20260711_161752_b-n0001,C-MT-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-a971e6256d-T,completed,text_only,midday_transfer,risk_averse_novice,11,6,5,11,4,2,1.0,0.0,1.0,3,2,1,0,route,clarification,6
20260711_162855_b-n0001,C-MPCC-RAN-SC-PIP-FWH-MP3M4-DEFAU-MED-I0-c4d51c5773-T,interrupted,text_only,morning_peak_cross_city,risk_averse_novice,,,,,,,,,,,,,,,,
20260711_162955_b-n0001,C-MPCC-RAN-SC-PIP-FWH-MP3M4-DEFAU-MED-I0-c4d51c5773-A,interrupted,audio_variant,morning_peak_cross_city,risk_averse_novice,,,,,,,,,,,,,,,,
20260711_163055_b-n0001,C-MT-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-822f2e47a0-T,completed,text_only,midday_transfer,focused_commuter,13,7,6,13,3,2,1.0,1.0,1.0,3,3,1,0,route,clarification,11
20260711_163155_b-n0001,C-MT-RAN-SC-PIP-VOS-MP3M4-DEFAU-MED-I0-a971e6256d-A,completed,audio_variant,midday_transfer,risk_averse_novice,15,8,7,15,0,0,0.0,1.0,1.0,0,0,5,0,time,route,10
20260711_163626_b-n0001,C-AC-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-9fbc9875a3-T,interrupted,text_only,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
20260711_163726_b-n0001,C-AC-FC-CLEAN-PIP-FWH-MP3M4-DEFAU-MED-I0-9fbc9875a3-A,interrupted,audio_variant,airport_connection,focused_commuter,,,,,,,,,,,,,,,,
