source_run,condition_id,model_comparison_condition_key,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,agent_a_audio_persona,agent_b_audio_persona,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,2,text_to_speech,19,37.728804,1.9857265263157893,6.858584,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,3,automatic_speech_recognition,19,30.450197,1.602641947368421,3.136702,1.0,0,48,0,,,runtime event telemetry; no retrospective substitution
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,4,natural_language_understanding,9,0.003936,0.00043733333333333336,0.000471,,,,,0.0,,runtime event telemetry; no retrospective substitution
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,5,dialogue_management,9,0.001003,0.00011144444444444445,0.000123,,,,,,0,runtime event telemetry; no retrospective substitution
20260710_200803_b-n0001,C-MT-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-c60b89701d-A,MC-841dbfa4d80d,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,midday_transfer,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,6,speech_pipeline,19,108.870194,5.7300102105263155,13.509422,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,1,natural_language_generation,5,0.034488000000000005,0.006897600000000001,0.018408,,,,,,,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,2,text_to_speech,5,12.163049,2.4326098000000003,6.130975,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,3,automatic_speech_recognition,5,8.960644,1.7921288,3.190732,1.0,0,18,0,,,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,4,natural_language_understanding,2,0.000763,0.0003815,0.000387,,,,,0.0,,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,5,dialogue_management,2,0.000224,0.000112,0.000113,,,,,,0,runtime event telemetry; no retrospective substitution
20260710_200831_b-n0001_02,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-A,MC-d721e815a87c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,audio_variant,morning_peak_cross_city,crowd_averse_rider,severe_channel,barely_understandable_caller,barely_understandable_operator,6,speech_pipeline,5,31.608330000000002,6.3216660000000005,12.400482,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,1,natural_language_generation,15,324.459021,21.6306014,96.093397,,,,,,,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,2,text_to_speech,15,16.254753,1.0836502000000001,1.731308,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,3,automatic_speech_recognition,15,0.12615,0.00841,0.011556,1.0,0,4,0,,,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,4,natural_language_understanding,7,0.045455,0.006493571428571429,0.019504,,,,,0.5714285714285714,,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,5,dialogue_management,7,0.034266,0.004895142857142857,0.009959,,,,,,4,runtime event telemetry; no retrospective substitution
20260710_201032_b-n0001,C-CEE-RAN-SC-PIP-VOS-Q05-DEFAU-SML-I0-2aa0006b49-T,MC-1e26475477cb,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,crowded_event_exit,risk_averse_novice,severe_channel,barely_understandable_caller,barely_understandable_operator,6,speech_pipeline,15,16.38877,1.0925846666666668,1.73961,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,1,natural_language_generation,11,323.43807400000003,29.403461272727274,75.563586,,,,,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,2,text_to_speech,11,15.045361,1.3677600909090908,2.933918,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,3,automatic_speech_recognition,11,0.377392,0.03430836363636364,0.049616,1.0,0,0,5,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,4,natural_language_understanding,5,0.010995,0.002199,0.005057,,,,,1.0,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,5,dialogue_management,5,0.03274,0.006548,0.012857,,,,,,4,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001,C-MPCC-DST-CLEAN-PIP-VOS-Q05-DEFAU-SML-I0-9316a45235-T,MC-477ce0a0de62,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,clean,high_clarity_caller,high_clarity_operator,6,speech_pipeline,11,15.428906,1.4026278181818181,2.984193,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,1,natural_language_generation,13,408.06384,31.389526153846155,80.902216,,,,,,,runtime event telemetry; no retrospective substitution
20260710_201202_b-n0001_02,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-3007c4b4eb-T,MC-bc1ef8eeb63c,completed,userlm,Qwen2.5-0.5B-Instruct,small,piper,vosk,text_only,morning_peak_cross_city,delay_sensitive_traveler,hesitant,degraded_caller,degraded_operator,2,text_to_speech,13,18.701909,1.4386083846153848,2.389592,1.0,0,,,,,runtime event telemetry; no retrospective substitution
