source_run,condition_id,condition_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engine,asr_engine,run_type,scenario_key,persona_key,speech_pattern_key,phase_order,phase,observation_count,total_processing_sec,mean_processing_sec,maximum_processing_sec,pipeline_success_rate,error_count,misinterpreted_token_count,correction_count,valid_route_parse_rate,candidate_count,evidence_source
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,1,natural_language_generation,11,369.064442,33.55131290909091,76.900321,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,2,text_to_speech,11,14.853321,1.350301909090909,1.955432,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,3,automatic_speech_recognition,11,0.316012,0.02872836363636364,0.042559,1.0,0,1,0,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,4,natural_language_understanding,5,0.009918,0.0019836,0.003602,,,,,0.8,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,5,dialogue_management,5,4.076739,0.8153478,4.057294,,,,,,4,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,text_only,morning_peak_cross_city,focused_commuter,noisy_station,6,speech_pipeline,11,15.177342,1.3797583636363635,1.991909,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,1,natural_language_generation,11,471.67319000000003,42.87938090909091,101.410323,,,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,2,text_to_speech,11,22.599439,2.0544944545454547,4.699687,1.0,0,,,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,3,automatic_speech_recognition,11,45.315755,4.119614090909091,7.476606,1.0,0,12,6,,,runtime event telemetry; no retrospective substitution
20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,audio_variant,morning_peak_cross_city,focused_commuter,noisy_station,4,natural_language_understanding,5,0.021063,0.0042125999999999995,0.010461,,,,,1.0,,runtime event telemetry; no retrospective substitution
